XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
220438.26341188,2483034.40907354,1,2,1,3162.9406185305
222873.73485514,2485051.72639135,2,1,1,3162.9406185305
222873.73485514,2485051.72639135,2,3,18031,209.554517356373
223033.43072039,2485187.41104915,3,4,2,6590.45100549317
223033.43072039,2485187.41104915,3,2,18031,209.554517356373
228839.69567789,2488283.30037781,4,3,2,6590.45100549317
228839.69567789,2488283.30037781,4,13,18032,224.50301561653
236281.19067146,2488870.17255680,5,6,3,1220.72327031116
236838.86801778,2489955.75456891,6,5,3,1220.72327031116
236838.86801778,2489955.75456891,6,8,4,270.569321150674
236838.86801778,2489955.75456891,6,9,5,871.974811776185
237068.16879332,2489812.12688395,8,6,4,270.569321150674
236100.67173077,2490419.87342677,9,6,5,871.974811776185
236100.67173077,2490419.87342677,9,12,18033,231.231779946045
233753.75929930,2492293.90302975,11,12,6,2787.63027838875
233753.75929930,2492293.90302975,11,16,18034,82.3758194722222
235900.86922126,2490536.26540780,12,11,6,2787.63027838875
235900.86922126,2490536.26540780,12,9,18033,231.231779946045
229032.92855349,2488397.59237144,13,14,7,6223.68085974668
229032.92855349,2488397.59237144,13,4,18032,224.50301561653
233492.04736630,2492442.06356791,14,13,7,6223.68085974668
233492.04736630,2492442.06356791,14,17,9,64.7129474620458
233492.04736630,2492442.06356791,14,22,11,70.3950699325357
233567.11178182,2492469.10732793,15,16,8,173.619965452443
233567.11178182,2492469.10732793,15,17,10,47.4996987631383
233567.11178182,2492469.10732793,15,25,14,46.388119328825
233693.69729828,2492350.27972412,16,15,8,173.619965452443
233693.69729828,2492350.27972412,16,11,18034,82.3758194722222
233527.96052854,2492495.82525463,17,14,9,64.7129474620458
233527.96052854,2492495.82525463,17,15,10,47.4996987631383
233527.96052854,2492495.82525463,17,22,12,17.0421551825361
233527.96052854,2492495.82525463,17,25,13,24.4438874782336
233516.92148697,2492507.52936428,22,14,11,70.3950699325357
233516.92148697,2492507.52936428,22,17,12,17.0421551825361
233516.92148697,2492507.52936428,22,30,15,4.28788978583345
233545.11395023,2492509.03539392,25,17,13,24.4438874782336
233545.11395023,2492509.03539392,25,15,14,46.388119328825
233545.11395023,2492509.03539392,25,31,16,3.94803579633225
233516.94431288,2492511.81719331,30,22,15,4.28788978583345
233516.94431288,2492511.81719331,30,34,17,6.56252860895772
233516.94431288,2492511.81719331,30,40,20,53.4658911968303
233544.72906108,2492512.96462375,31,25,16,3.94803579633225
233544.72906108,2492512.96462375,31,36,19,19.7450463860463
233544.72906108,2492512.96462375,31,44,23,72.1950750015878
233519.45831813,2492517.87908735,34,30,17,6.56252860895772
233519.45831813,2492517.87908735,34,36,18,12.4635466150384
233529.99506403,2492524.12330712,36,34,18,12.4635466150384
233529.99506403,2492524.12330712,36,31,19,19.7450463860463
233529.99506403,2492524.12330712,36,40,21,49.4838357126505
233529.99506403,2492524.12330712,36,44,22,68.5559391412176
233497.73236551,2492561.60321032,40,30,20,53.4658911968303
233497.73236551,2492561.60321032,40,36,21,49.4838357126505
233497.73236551,2492561.60321032,40,61,31,4580.19683662172
233569.32310626,2492580.10850583,44,36,22,68.5559391412176
233569.32310626,2492580.10850583,44,31,23,72.1950750015878
233569.32310626,2492580.10850583,44,48,24,446.741577647144
233787.78861429,2492969.73301263,48,44,24,446.741577647144
233787.78861429,2492969.73301263,48,51,18035,33.5074328000467
208380.86594153,2489372.33126138,49,50,25,4371.68874279822
209818.71510546,2493180.80233768,50,49,25,4371.68874279822
209818.71510546,2493180.80233768,50,53,18036,283.445624536847
233803.95452102,2492999.08282545,51,52,26,1078.82658288926
233803.95452102,2492999.08282545,51,48,18035,33.5074328000467
234203.90363731,2493988.12471042,52,51,26,1078.82658288926
234203.90363731,2493988.12471042,52,125,18037,68.6142895790473
210049.79607442,2493344.94559174,53,54,27,1453.35019118697
210049.79607442,2493344.94559174,53,50,18036,283.445624536847
211191.62365555,2494240.61290186,54,53,27,1453.35019118697
211191.62365555,2494240.61290186,54,55,18038,242.921378439678
211375.34898037,2494399.53364035,55,56,28,729.328255850727
211375.34898037,2494399.53364035,55,54,18038,242.921378439678
211970.20964571,2494817.79109027,56,55,28,729.328255850727
211970.20964571,2494817.79109027,56,57,29,3336.96069519106
211970.20964571,2494817.79109027,56,68,34,2554.68372059015
214970.20617482,2496264.56868641,57,56,29,3336.96069519106
214970.20617482,2496264.56868641,57,59,30,4028.30073487525
214970.20617482,2496264.56868641,57,72,36,6737.02318557201
217088.55456420,2493125.44587782,59,57,30,4028.30073487525
231307.48009064,2496583.99786113,61,40,31,4580.19683662172
231307.48009064,2496583.99786113,61,64,32,187.444910599407
231307.48009064,2496583.99786113,61,64,33,197.488798639356
231160.82946241,2496675.85565204,64,61,32,187.444910599407
231160.82946241,2496675.85565204,64,61,33,197.488798639356
231160.82946241,2496675.85565204,64,72,37,13262.4428220244
212009.41308304,2497348.18722404,68,56,34,2554.68372059015
212009.41308304,2497348.18722404,68,69,18039,243.702536862775
212000.35480205,2497591.72135721,69,70,35,1008.45671236769
